account_id,segment,value_date,institution_size,province,principal_outstanding,undrawn_limit,collateral_value,loan_to_value,tenure_years,months_on_book,dpd,debt_review_flag,judgement_flag,administration_order,loadshedding_vulnerability_score,internal_rating,base_segment_ccf,base_segment_ttc_pd,base_segment_lgd,base_segment_corr
ACC_000001,Retail_Mortgage,2026-09-16,Large_D-SIB,Free State,56937907048.18594,5897673980.002688,71441473238.1116,0.7969867426783621,7,35,0,False,False,False,5,A,0.2,0.015,0.3,0.15
ACC_000002,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,106389223012.85216,9830876196.731564,148346968375.06265,0.7171647939839959,17,136,0,False,False,False,2,BBB,0.2,0.015,0.3,0.15
ACC_000003,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,8312310035.831532,2076889759.7589533,11624027313.59637,0.7150972560180415,24,107,0,False,False,False,2,B,0.2,0.015,0.3,0.15
ACC_000004,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,15193902155.40099,1801408048.0856147,22845414432.938515,0.6650744813582556,8,18,0,False,False,False,2,A,0.2,0.015,0.3,0.15
ACC_000005,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,26162607095.965836,3180838733.656386,38900747914.50236,0.6725476629258408,17,232,15,False,False,False,3,AA,0.2,0.015,0.3,0.15
ACC_000006,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,65879769094.53169,6337420973.44393,102293984803.53996,0.6440238809843672,6,201,0,False,False,False,3,BB,0.2,0.015,0.3,0.15
ACC_000007,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,109662740563.66077,6137612190.510157,158798172363.562,0.6905793620381999,30,67,0,False,False,False,2,BB,0.2,0.015,0.3,0.15
ACC_000008,Retail_Vehicle,2026-09-16,Large_D-SIB,KZN,68802316039.77379,2928211379.450277,48228008786.991615,1.426604949494237,4,101,0,False,False,False,3,CCC,0.6,0.035,0.4,0.1
ACC_000009,Retail_Vehicle,2026-09-16,Large_D-SIB,Western Cape,15078483131.760698,491669814.99829155,12959438536.320896,1.1635136112958013,1,58,0,False,False,False,1,AAA,0.6,0.035,0.4,0.1
ACC_000010,Retail_Vehicle,2026-09-16,Large_D-SIB,Gauteng,12896479160.907745,524885038.8635354,13278049565.102037,0.9712630682448157,3,110,0,False,False,False,3,A,0.6,0.035,0.4,0.1
ACC_000011,Retail_CreditCard,2026-09-16,Large_D-SIB,KZN,18412675697.719448,10412589742.91549,0.0,inf,0,70,0,False,False,False,3,BBB,0.85,0.08,0.5,0.08
ACC_000012,Retail_CreditCard,2026-09-16,Large_D-SIB,Gauteng,80149330515.01945,29686728671.101765,0.0,inf,0,33,0,False,False,False,2,BBB,0.85,0.08,0.5,0.08
ACC_000013,Retail_Overdraft,2026-09-16,Large_D-SIB,Gauteng,22324590624.634594,21234470983.04357,0.0,inf,0,135,0,False,False,False,5,AA,0.9,0.06,0.55,0.08
ACC_000014,SME_Corporate,2026-09-16,Large_D-SIB,Gauteng,36187169650.724174,9086563375.594925,20483103560.33924,1.7666839179972804,7,161,0,False,False,False,4,AAA,0.7,0.045,0.45,0.18
ACC_000015,SME_Corporate,2026-09-16,Large_D-SIB,KZN,159997554298.26758,47089522901.09275,80416005175.0067,1.989623259077222,10,171,0,False,False,False,4,B,0.7,0.045,0.45,0.18
ACC_000016,SME_Corporate,2026-09-16,Large_D-SIB,Gauteng,22573594345.65436,10429673984.94624,18233688314.762436,1.2380158065649414,7,85,0,False,False,False,4,B,0.7,0.045,0.45,0.18
ACC_000017,Corporate_Large,2026-09-16,Large_D-SIB,Gauteng,6004921113.965395,2260250375.7302322,5706150152.094257,1.0523594637202955,3,91,0,False,False,False,3,A,0.65,0.02,0.4,0.24
ACC_000018,Corporate_Large,2026-09-16,Large_D-SIB,Gauteng,37650978212.74668,2670213859.0794754,26621610982.15417,1.4143012696709474,10,200,30,False,False,False,4,A,0.65,0.02,0.4,0.24
ACC_000019,Sovereign_Bank,2026-09-16,Large_D-SIB,Gauteng,30575157809.09946,449118753.2317073,27776682610.397484,1.1007490792890595,5,158,60,False,False,False,1,A,0.5,0.005,0.35,0.3
