account_id,segment,value_date,institution_size,province,principal_outstanding,undrawn_limit,collateral_value,loan_to_value,tenure_years,months_on_book,dpd,debt_review_flag,judgement_flag,administration_order,loadshedding_vulnerability_score,internal_rating,base_segment_ccf,base_segment_ttc_pd,base_segment_lgd,base_segment_corr
ACC_000001,Retail_Mortgage,2026-09-16,Large_D-SIB,Free State,28468953524.09297,2948836990.001344,35720736619.0558,0.7969867426783621,7,35,0,False,False,False,5,A,0.2,0.015,0.3,0.15
ACC_000002,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,53194611506.42608,4915438098.365782,74173484187.53133,0.7171647939839959,17,136,0,False,False,False,2,BBB,0.2,0.015,0.3,0.15
ACC_000003,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,4156155017.915766,1038444879.8794767,5812013656.798185,0.7150972560180415,24,107,0,False,False,False,2,B,0.2,0.015,0.3,0.15
ACC_000004,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,7596951077.700495,900704024.0428073,11422707216.469257,0.6650744813582556,8,18,0,False,False,False,2,A,0.2,0.015,0.3,0.15
ACC_000005,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,13081303547.982918,1590419366.828193,19450373957.25118,0.6725476629258408,17,232,15,False,False,False,3,AA,0.2,0.015,0.3,0.15
ACC_000006,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,32939884547.265846,3168710486.721965,51146992401.76998,0.6440238809843672,6,201,0,False,False,False,3,BB,0.2,0.015,0.3,0.15
ACC_000007,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,54831370281.83038,3068806095.2550783,79399086181.781,0.6905793620381999,30,67,0,False,False,False,2,BB,0.2,0.015,0.3,0.15
ACC_000008,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,34401158019.886894,5380322125.307191,41314583403.43926,0.832663800187881,19,101,0,False,False,False,3,CCC,0.2,0.015,0.3,0.15
ACC_000009,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,7539241565.880349,991549347.0418818,10249340051.100624,0.735583123234432,5,58,0,False,False,False,1,AAA,0.2,0.015,0.3,0.15
ACC_000010,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,6448239580.453873,978518277.602113,9863144572.777954,0.6537711713413247,14,110,0,False,False,False,4,A,0.2,0.015,0.3,0.15
ACC_000011,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,7671948207.383103,1111095480.8452945,10011185358.800856,0.7663376445865799,9,105,0,False,False,False,2,BB,0.2,0.015,0.3,0.15
ACC_000012,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,8098079216.306641,970793178.6904259,9792685748.614828,0.8269518111976698,19,48,0,False,False,False,3,A,0.2,0.015,0.3,0.15
ACC_000013,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,4322264089.413918,826754807.7320256,4944618399.135708,0.8741350172076829,19,91,0,False,False,False,2,A,0.2,0.015,0.3,0.15
ACC_000014,Retail_Mortgage,2026-09-16,Large_D-SIB,Limpopo,1689788270.0539858,298021551.06364197,1875343084.9075193,0.9010555367991857,16,117,0,False,False,False,2,BBB,0.2,0.015,0.3,0.15
ACC_000015,Retail_Vehicle,2026-09-16,Large_D-SIB,Western Cape,18166740892.02662,434453780.9855325,18571408237.909237,0.9782101959798297,7,218,0,False,False,False,3,A,0.6,0.035,0.4,0.1
ACC_000016,Retail_Vehicle,2026-09-16,Large_D-SIB,Gauteng,14504848734.467312,920225664.3238034,14505343041.231958,0.9999659224353922,5,224,0,False,False,False,2,A,0.6,0.035,0.4,0.1
ACC_000017,Retail_Vehicle,2026-09-16,Large_D-SIB,Western Cape,6599466084.942053,258305622.62115985,4389763736.3382845,1.5033761453519565,3,15,0,False,False,False,1,BBB,0.6,0.035,0.4,0.1
ACC_000018,Retail_Vehicle,2026-09-16,Large_D-SIB,Gauteng,6604851937.142564,598745204.8518023,4724812714.922981,1.3979076707700209,6,18,0,False,False,False,1,A,0.6,0.035,0.4,0.1
ACC_000019,Retail_Vehicle,2026-09-16,Large_D-SIB,Free State,42440184867.115204,3707637852.7922177,28452716065.82567,1.4916039920030613,7,160,0,False,False,False,1,BBB,0.6,0.035,0.4,0.1
ACC_000020,Retail_Vehicle,2026-09-16,Large_D-SIB,Free State,3692581525.3393126,207561139.14835793,3933323457.4529076,0.9387942703625265,5,123,90,False,False,False,4,B,0.6,0.035,0.4,0.1
ACC_000021,Retail_CreditCard,2026-09-16,Large_D-SIB,Limpopo,103560659108.41006,46848968097.197174,0.0,inf,0,116,0,False,False,False,2,BBB,0.85,0.08,0.5,0.08
ACC_000022,Retail_CreditCard,2026-09-16,Large_D-SIB,Eastern Cape,30465263224.42026,20491825368.077187,0.0,inf,0,173,0,False,False,False,4,B,0.85,0.08,0.5,0.08
ACC_000023,Retail_CreditCard,2026-09-16,Large_D-SIB,KZN,59808017284.256165,54642634515.81292,0.0,inf,0,76,0,False,False,False,2,BB,0.85,0.08,0.5,0.08
ACC_000024,Retail_CreditCard,2026-09-16,Large_D-SIB,Gauteng,6401812166.450398,2718300453.5118423,0.0,inf,0,29,0,False,False,False,3,A,0.85,0.08,0.5,0.08
ACC_000025,Retail_Overdraft,2026-09-16,Large_D-SIB,Mpumalanga,23396752509.309235,11321749477.163572,0.0,inf,0,225,0,False,False,False,2,CCC,0.9,0.06,0.55,0.08
ACC_000026,Retail_Overdraft,2026-09-16,Large_D-SIB,North West,5888460582.35997,4039221244.450895,0.0,inf,0,196,0,False,False,False,2,BB,0.9,0.06,0.55,0.08
ACC_000027,Retail_Overdraft,2026-09-16,Large_D-SIB,Western Cape,8431757110.341453,7099284325.6353855,0.0,inf,0,180,0,False,False,False,4,B,0.9,0.06,0.55,0.08
ACC_000028,SME_Corporate,2026-09-16,Large_D-SIB,Free State,6462619889.755006,2745192610.478143,5478441192.86709,1.1796457536441776,1,150,0,False,False,False,3,BB,0.7,0.045,0.45,0.18
ACC_000029,SME_Corporate,2026-09-16,Large_D-SIB,North West,30359095197.591652,10475325882.543537,30282409086.434807,1.0025323649428934,7,196,0,False,False,False,4,BB,0.7,0.045,0.45,0.18
ACC_000030,SME_Corporate,2026-09-16,Large_D-SIB,Western Cape,7614307519.453755,2113122410.3175707,6416176224.065704,1.186736033043188,4,79,5,False,False,False,4,A,0.7,0.045,0.45,0.18
ACC_000031,SME_Corporate,2026-09-16,Large_D-SIB,Gauteng,37173505617.20589,17604280339.17748,34117099692.0212,1.089585748870074,3,42,0,False,False,False,3,A,0.7,0.045,0.45,0.18
ACC_000032,SME_Corporate,2026-09-16,Large_D-SIB,Gauteng,19987429807.9704,9429180959.779015,15807783392.268045,1.2644043324724907,8,95,0,False,False,False,2,AA,0.7,0.045,0.45,0.18
ACC_000033,SME_Corporate,2026-09-16,Large_D-SIB,Gauteng,44900128531.26807,8933498142.524956,49518168499.615814,0.9067404932720083,9,57,0,False,False,False,2,B,0.7,0.045,0.45,0.18
ACC_000034,Corporate_Large,2026-09-16,Large_D-SIB,Western Cape,4899592073.957733,1833734739.968411,5880095414.655338,0.8332504370160672,3,94,0,False,False,False,2,CCC,0.65,0.02,0.4,0.24
