account_id,segment,value_date,institution_size,province,principal_outstanding,undrawn_limit,collateral_value,loan_to_value,tenure_years,months_on_book,dpd,debt_review_flag,judgement_flag,administration_order,loadshedding_vulnerability_score,internal_rating,base_segment_ccf,base_segment_ttc_pd,base_segment_lgd,base_segment_corr
ACC_000001,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,85824169761.49721,22971817683.586323,103776951075.503,0.8270060824879675,13,181,0,False,False,False,3,CCC,0.2,0.015,0.3,0.15
ACC_000002,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,83679072620.85733,14457551700.411793,106205170742.54865,0.7879001750649532,15,82,0,False,False,False,1,CCC,0.2,0.015,0.3,0.15
ACC_000003,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,106305770112.4697,18807539583.69613,169066014208.40204,0.6287826125801376,18,126,0,False,False,False,3,AAA,0.2,0.015,0.3,0.15
ACC_000004,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,12383977360.24639,2440165980.377388,17229335728.16471,0.7187727696316442,7,185,0,False,False,False,2,BBB,0.2,0.015,0.3,0.15
ACC_000005,Retail_Vehicle,2026-09-16,Large_D-SIB,Western Cape,209426163875.2835,17593629175.369568,158504885158.87256,1.3212599956485351,2,186,0,False,False,False,2,AA,0.6,0.035,0.4,0.1
ACC_000006,Retail_CreditCard,2026-09-16,Large_D-SIB,Eastern Cape,150635345277.75583,135818863041.58754,0.0,inf,0,44,0,False,False,False,2,CCC,0.85,0.08,0.5,0.08
ACC_000007,Retail_Overdraft,2026-09-16,Large_D-SIB,Gauteng,6895992444.682355,1707689380.9513967,0.0,inf,0,201,0,False,False,False,3,A,0.9,0.06,0.55,0.08
ACC_000008,SME_Corporate,2026-09-16,Large_D-SIB,Mpumalanga,73891951992.07547,35698500142.07699,46625243219.34713,1.5848057166040483,6,164,0,False,False,False,4,BB,0.7,0.045,0.45,0.18
ACC_000009,Corporate_Large,2026-09-16,Large_D-SIB,KZN,11636957248.156513,2044366024.2230008,11020644495.74243,1.05592347640396,13,125,0,False,False,False,3,AA,0.65,0.02,0.4,0.24
ACC_000010,Sovereign_Bank,2026-09-16,Large_D-SIB,Gauteng,193592019612.6528,14276511971.695076,206314942699.46823,0.9383325176531276,7,136,0,False,False,False,2,B,0.5,0.005,0.35,0.3
