account_id,segment,value_date,institution_size,province,principal_outstanding,undrawn_limit,collateral_value,loan_to_value,tenure_years,months_on_book,dpd,debt_review_flag,judgement_flag,administration_order,loadshedding_vulnerability_score,internal_rating,base_segment_ccf,base_segment_ttc_pd,base_segment_lgd,base_segment_corr
ACC_000001,Retail_Mortgage,2026-09-16,Large_D-SIB,Free State,39856534933.73016,4128371786.001882,50009031266.67813,0.796986742678362,7,35,0,False,False,False,5,A,0.2,0.015,0.3,0.15
ACC_000002,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,74472456108.99652,6881613337.712096,103842877862.54387,0.7171647939839959,17,136,0,False,False,False,2,BBB,0.2,0.015,0.3,0.15
ACC_000003,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,5818617025.082072,1453822831.8312674,8136819119.51746,0.7150972560180415,24,107,0,False,False,False,2,B,0.2,0.015,0.3,0.15
ACC_000004,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,10635731508.780693,1260985633.6599302,15991790103.05696,0.6650744813582556,8,18,0,False,False,False,2,A,0.2,0.015,0.3,0.15
ACC_000005,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,18313824967.176083,2226587113.5594697,27230523540.151646,0.6725476629258408,17,232,15,False,False,False,3,AA,0.2,0.015,0.3,0.15
ACC_000006,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,46115838366.17219,4436194681.410751,71605789362.47798,0.6440238809843672,6,201,0,False,False,False,3,BB,0.2,0.015,0.3,0.15
ACC_000007,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,76763918394.56253,4296328533.357109,111158720654.49341,0.6905793620381999,30,67,0,False,False,False,2,BB,0.2,0.015,0.3,0.15
ACC_000008,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,48161621227.841644,7532450975.430067,57840416764.81496,0.832663800187881,19,101,0,False,False,False,3,CCC,0.2,0.015,0.3,0.15
ACC_000009,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,10554938192.232489,1388169085.8586345,14349076071.540873,0.735583123234432,5,58,0,False,False,False,1,AAA,0.2,0.015,0.3,0.15
ACC_000010,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,9027535412.635422,1369925588.6429582,13808402401.889137,0.6537711713413247,14,110,0,False,False,False,4,A,0.2,0.015,0.3,0.15
ACC_000011,Retail_Vehicle,2026-09-16,Large_D-SIB,Western Cape,11507922311.074654,436498842.2856834,9262816882.663956,1.242378258887162,2,105,0,False,False,False,2,BB,0.6,0.035,0.4,0.1
ACC_000012,Retail_Vehicle,2026-09-16,Large_D-SIB,Gauteng,12147118824.45996,339533530.7250563,8615469210.692263,1.4099195908430304,4,48,0,False,False,False,3,A,0.6,0.035,0.4,0.1
ACC_000013,Retail_Vehicle,2026-09-16,Large_D-SIB,Western Cape,6483396134.120875,366384961.9567977,4175229531.6431227,1.5528238830906609,4,91,0,False,False,False,2,A,0.6,0.035,0.4,0.1
ACC_000014,Retail_Vehicle,2026-09-16,Large_D-SIB,Limpopo,2534682405.080979,128119282.53656562,1545673424.8207896,1.6398563657616474,4,117,0,False,False,False,2,BBB,0.6,0.035,0.4,0.1
ACC_000015,Retail_CreditCard,2026-09-16,Large_D-SIB,Mpumalanga,29066785427.24259,13585917975.21074,0.0,inf,0,182,0,False,False,False,3,B,0.85,0.08,0.5,0.08
ACC_000016,Retail_CreditCard,2026-09-16,Large_D-SIB,Western Cape,17070032467.041939,12774109157.001974,0.0,inf,0,123,0,False,False,False,4,A,0.85,0.08,0.5,0.08
ACC_000017,Retail_CreditCard,2026-09-16,Large_D-SIB,Gauteng,10422499623.51924,7232849342.121787,0.0,inf,0,91,0,False,False,False,2,A,0.85,0.08,0.5,0.08
ACC_000018,Retail_Overdraft,2026-09-16,Large_D-SIB,Gauteng,30120782570.197346,7824533539.050078,0.0,inf,0,143,0,False,False,False,2,B,0.9,0.06,0.55,0.08
ACC_000019,Retail_Overdraft,2026-09-16,Large_D-SIB,Gauteng,2962216360.5535917,1034655182.7604935,0.0,inf,0,112,0,False,False,False,1,A,0.9,0.06,0.55,0.08
ACC_000020,SME_Corporate,2026-09-16,Large_D-SIB,Gauteng,5071844860.907092,792908814.50694,5194331878.725401,0.9764191005353388,10,233,0,False,False,False,4,BBB,0.7,0.045,0.45,0.18
ACC_000021,SME_Corporate,2026-09-16,Large_D-SIB,Free State,39944568512.085304,18860102995.043106,42475926075.95314,0.9404048881867484,3,187,90,False,False,False,4,B,0.7,0.045,0.45,0.18
ACC_000022,SME_Corporate,2026-09-16,Large_D-SIB,Gauteng,58259547868.63426,26973865569.965744,31702086568.796276,1.8377196637264235,1,154,0,False,False,False,3,BB,0.7,0.045,0.45,0.18
ACC_000023,SME_Corporate,2026-09-16,Large_D-SIB,Mpumalanga,6364337472.281563,2758193771.2147856,2652749740.736429,2.3991473355171307,6,146,15,False,False,False,4,BBB,0.7,0.045,0.45,0.18
ACC_000024,Corporate_Large,2026-09-16,Large_D-SIB,Western Cape,14569509646.248085,4489193386.278435,8681052732.876673,1.6783113862528205,6,24,0,False,False,False,2,BB,0.65,0.02,0.4,0.24
ACC_000025,Corporate_Large,2026-09-16,Large_D-SIB,KZN,19305028722.22517,1225088729.65514,14037112709.166481,1.3752848696312487,9,225,0,False,False,False,3,CCC,0.65,0.02,0.4,0.24
ACC_000026,Corporate_Large,2026-09-16,Large_D-SIB,Gauteng,7360575727.949962,1619947779.888267,9282379947.860134,0.7929621249393906,13,5,0,False,False,False,2,CCC,0.65,0.02,0.4,0.24
ACC_000027,Sovereign_Bank,2026-09-16,Large_D-SIB,Gauteng,11509587588.639118,1990479248.4748182,11422005529.450571,1.0076678354744903,14,75,0,False,False,False,3,A,0.5,0.005,0.35,0.3
