account_id,segment,institution_size,province,principal_outstanding,undrawn_limit,collateral_value,loan_to_value,tenure_years,months_on_book,dpd,debt_review_flag,judgement_flag,administration_order,loadshedding_vulnerability_score,internal_rating,base_segment_ccf,base_segment_ttc_pd,base_segment_lgd,base_segment_corr,source_bank,source_date,value_date
FDIC_10004_20260630,Corporate_Large,Large_D-SIB,US,224774000.0,0.0,224774000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,ERGO BANK,2026-06-30,2026-06-30
FDIC_23430_20260630,Corporate_Large,Large_D-SIB,US,103992000.0,0.0,103992000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,FIRST NB OF BURLESON,2026-06-30,2026-06-30
FDIC_23474_20260630,Corporate_Large,Large_D-SIB,US,3400501000.0,0.0,3400501000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,AMERICAN NB OF TEXAS,2026-06-30,2026-06-30
FDIC_23498_20260630,Corporate_Large,Large_D-SIB,US,5478496000.0,0.0,5478496000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,TBK BANK SSB,2026-06-30,2026-06-30
FDIC_234_20260630,Corporate_Large,Large_D-SIB,US,44704000.0,0.0,44704000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,POCAHONTAS STATE BANK,2026-06-30,2026-06-30
FDIC_23523_20260630,Corporate_Large,Large_D-SIB,US,85526000.0,0.0,85526000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,CITIZENS BANK INC,2026-06-30,2026-06-30
FDIC_23537_20260630,Corporate_Large,Large_D-SIB,US,1120625000.0,0.0,1120625000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,BANKERS BANK,2026-06-30,2026-06-30
FDIC_23546_20260630,Corporate_Large,Large_D-SIB,US,260866000.0,0.0,260866000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,MUNICIPAL TRUST&SAVINGS BANK,2026-06-30,2026-06-30
FDIC_23551_20260630,Corporate_Large,Large_D-SIB,US,85195000.0,0.0,85195000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,COMMUNITY BK EL DORADO SPRIN,2026-06-30,2026-06-30
FDIC_23597_20260630,Corporate_Large,Large_D-SIB,US,221111000.0,0.0,221111000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,LAMAR NATIONAL BANK,2026-06-30,2026-06-30
FDIC_2359_20260630,Corporate_Large,Large_D-SIB,US,297566000.0,0.0,297566000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,MAUCH CHUNK TRUST CO,2026-06-30,2026-06-30
FDIC_235_20260630,Corporate_Large,Large_D-SIB,US,450467000.0,0.0,450467000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,SECURITY STATE BANK,2026-06-30,2026-06-30
FDIC_23620_20260630,Corporate_Large,Large_D-SIB,US,2034710000.0,0.0,2034710000.0,1.0,1,12,0,False,False,False,1,BBB,0.65,0.02,0.4,0.24,DEDHAM INST FOR SVG,2026-06-30,2026-06-30
