date,jse_alsi,jse_property,sovereign_cds_bps,gold_price_zar,platinum_price_zar,coal_price_zar,zar_usd
2023-01-31,,,,,,,17.4275
2023-02-28,,,,,,,18.3425
2023-03-31,,,,,,,17.73
2023-04-30,,,,,,,18.2909
2023-05-31,,,,,,,19.7787
2023-06-30,,,,,,,18.8444
2023-07-31,,,,,,,17.8081
2023-08-31,,,,,,,18.9061
2023-09-30,,,,,,,18.8828
2023-10-31,,,,,,,18.7424
2023-11-30,,,,,,,18.8698
2023-12-31,,,,,,,18.2622
2024-01-31,,,,,,,18.6527
2024-02-29,,,,,,,19.1884
2024-03-31,,,,,,,18.8926
2024-04-30,,,,,,,18.8085
2024-05-31,,,,,,,18.8402
2024-06-30,,,,,,,18.2283
2024-07-31,,,,,,,18.2081
2024-08-31,,,,,,,17.791
2024-09-30,,,,,,,17.2618
2024-10-31,,,,,,,17.675
2024-11-30,,,,,,,18.0405
2024-12-31,,,,,,,18.8792
2025-01-31,,,,,,,18.6424
2025-02-28,,,,,,,18.6012
2025-03-31,,,,,,,18.3845
2025-04-30,,,,,,,18.5814
2025-05-31,,,,,,,18.0319
2025-06-30,,,,,,,17.7172
2025-07-31,,,,,,,18.1741
2025-08-31,,,,,,,17.6519
2025-09-30,,,,,,,17.2681
2025-10-31,,,,,,,17.3312
2025-11-30,,,,,,,17.1229
2025-12-31,,,,,,,16.5496
