account_id,segment,value_date,institution_size,province,principal_outstanding,undrawn_limit,collateral_value,loan_to_value,tenure_years,months_on_book,dpd,debt_review_flag,judgement_flag,administration_order,loadshedding_vulnerability_score,internal_rating,base_segment_ccf,base_segment_ttc_pd,base_segment_lgd,base_segment_corr
ACC_000001,Retail_Mortgage,2026-09-16,Large_D-SIB,Free State,683254884.5782313,70772087.76003227,857297678.8573393,0.7969867426783621,7,35,0,False,False,False,5,A,0.2,0.015,0.3,0.15
ACC_000002,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,1276670676.154226,117970514.36077878,1780163620.500752,0.7171647939839959,17,136,0,False,False,False,2,BBB,0.2,0.015,0.3,0.15
ACC_000003,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,99747720.42997837,24922677.11710744,139488327.76315644,0.7150972560180415,24,107,0,False,False,False,2,B,0.2,0.015,0.3,0.15
ACC_000004,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,182326825.86481187,21616896.577027373,274144973.19526213,0.6650744813582556,8,18,0,False,False,False,2,A,0.2,0.015,0.3,0.15
ACC_000005,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,313951285.15159,38170064.80387663,466808974.9740282,0.6725476629258408,17,232,15,False,False,False,3,AA,0.2,0.015,0.3,0.15
ACC_000006,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,790557229.1343803,76049051.68132716,1227527817.6424794,0.6440238809843674,6,201,0,False,False,False,3,BB,0.2,0.015,0.3,0.15
ACC_000007,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,1315952886.7639291,73651346.28612188,1905578068.362744,0.6905793620381999,30,67,0,False,False,False,2,BB,0.2,0.015,0.3,0.15
ACC_000008,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,825627792.4772854,129127731.00737259,991550001.6825421,0.8326638001878811,19,101,0,False,False,False,3,CCC,0.2,0.015,0.3,0.15
ACC_000009,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,180941797.58112836,23797184.32900516,245984161.22641495,0.735583123234432,5,58,0,False,False,False,1,AAA,0.2,0.015,0.3,0.15
ACC_000010,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,154757749.93089294,23484438.662450712,236715469.7466709,0.6537711713413247,14,110,0,False,False,False,4,A,0.2,0.015,0.3,0.15
ACC_000011,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,184126756.97719446,26666291.540287063,240268448.61122054,0.7663376445865799,9,105,0,False,False,False,2,BB,0.2,0.015,0.3,0.15
ACC_000012,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,194353901.19135937,23299036.288570218,235024457.96675587,0.8269518111976698,19,48,0,False,False,False,3,A,0.2,0.015,0.3,0.15
ACC_000013,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,103734338.14593402,19842115.38556861,118670841.57925698,0.8741350172076829,19,91,0,False,False,False,2,A,0.2,0.015,0.3,0.15
ACC_000014,Retail_Mortgage,2026-09-16,Large_D-SIB,Limpopo,40554918.48129566,7152517.225527407,45008234.03778046,0.9010555367991858,16,117,0,False,False,False,2,BBB,0.2,0.015,0.3,0.15
ACC_000015,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,436001781.4086389,47867315.929563895,663714688.4141412,0.6569114546047002,27,218,0,False,False,False,3,A,0.2,0.015,0.3,0.15
ACC_000016,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,348116369.6272155,72619358.34078898,522186417.8031748,0.666651520910353,21,224,0,False,False,False,2,A,0.2,0.015,0.3,0.15
ACC_000017,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,158387186.03860927,23417696.65920005,184547922.69142348,0.8582442095728343,13,15,0,False,False,False,1,BBB,0.2,0.015,0.3,0.15
ACC_000018,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,158516446.49142155,43850534.61567922,192653728.40386236,0.8228049766009282,25,18,0,False,False,False,2,A,0.2,0.015,0.3,0.15
ACC_000019,Retail_Mortgage,2026-09-16,Large_D-SIB,Free State,1018564436.8107649,273386493.0080713,1192147403.9851987,0.8543947110951483,29,160,0,False,False,False,1,BBB,0.2,0.015,0.3,0.15
ACC_000020,Retail_Mortgage,2026-09-16,Large_D-SIB,Free State,88621956.60814351,16884766.17930865,138710741.28294155,0.6388975777108193,22,123,90,False,False,False,4,B,0.2,0.015,0.3,0.15
ACC_000021,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,2071213182.1682012,216280447.4275112,3218133923.6496105,0.6436068949608184,6,94,0,False,False,False,1,BB,0.2,0.015,0.3,0.15
ACC_000022,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,418048787.39497185,98522435.08977018,634066459.1066091,0.6593138327865454,5,145,15,False,False,False,4,BBB,0.2,0.015,0.3,0.15
ACC_000023,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,504528884.7733649,42063322.42300919,741024980.3224175,0.6808527352935472,26,43,0,False,False,False,4,BB,0.2,0.015,0.3,0.15
ACC_000024,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,239583118.33904767,22833772.114331294,268148122.47530967,0.893473040674032,30,90,0,False,False,False,4,CCC,0.2,0.015,0.3,0.15
ACC_000025,Retail_Mortgage,2026-09-16,Large_D-SIB,North West,258113411.65591326,76595176.15639015,346640553.9587341,0.7446140063768777,9,46,0,False,False,False,2,CCC,0.2,0.015,0.3,0.15
ACC_000026,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,346520886.7275956,66940411.79579552,530992121.58661896,0.6525913900420627,24,15,0,False,False,False,4,B,0.2,0.015,0.3,0.15
ACC_000027,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,612521221.8498925,158794407.3193994,790322959.1532043,0.7750264809542944,21,156,0,False,False,False,3,BB,0.2,0.015,0.3,0.15
ACC_000028,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,93515096.04257575,27177569.579813622,133853944.5351416,0.6986353399396802,26,95,0,False,False,False,3,BBB,0.2,0.015,0.3,0.15
ACC_000029,Retail_Mortgage,2026-09-16,Large_D-SIB,Mpumalanga,777424172.7415702,163921760.285028,1109604192.0868561,0.7006319715496497,13,55,0,False,False,False,2,CCC,0.2,0.015,0.3,0.15
ACC_000030,Retail_Mortgage,2026-09-16,Large_D-SIB,Eastern Cape,337329783.93056697,27561112.873911574,423205743.8451844,0.7970822438883716,9,180,60,False,False,False,2,BBB,0.2,0.015,0.3,0.15
ACC_000031,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,426512137.27066463,40253854.12699611,500169802.786629,0.8527346810911203,7,82,0,False,False,False,4,B,0.2,0.015,0.3,0.15
ACC_000032,Retail_Mortgage,2026-09-16,Large_D-SIB,Free State,335399672.31378406,28179404.72097319,412980607.2623104,0.8121438789515613,22,49,30,False,False,False,2,B,0.2,0.015,0.3,0.15
ACC_000033,Retail_Mortgage,2026-09-16,Large_D-SIB,Northern Cape,204865629.57951134,17471003.19369231,298356053.83471435,0.6866481405234178,16,130,0,False,False,False,3,B,0.2,0.015,0.3,0.15
ACC_000034,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,231760467.13397402,52506333.57684139,326783915.87924975,0.7092162614870312,28,92,0,False,False,False,3,B,0.2,0.015,0.3,0.15
ACC_000035,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,258511609.89294407,53661269.66532023,319703836.08032876,0.8085971474799272,6,117,0,False,False,False,1,BBB,0.2,0.015,0.3,0.15
ACC_000036,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,319166287.75024223,65475642.75815886,367005461.55713296,0.8696499675947099,26,83,90,False,False,False,2,BB,0.2,0.015,0.3,0.15
ACC_000037,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,396885438.73258835,96847597.69433385,575327588.4871922,0.6898425291514136,22,63,30,False,False,False,3,BB,0.2,0.015,0.3,0.15
ACC_000038,Retail_Mortgage,2026-09-16,Large_D-SIB,Mpumalanga,418747000.3286572,106137522.43692613,547388889.2589151,0.7649899523820802,6,56,0,False,False,False,5,AA,0.2,0.015,0.3,0.15
ACC_000039,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,615943597.6482763,51683681.64469943,834756555.4510438,0.7378721300552874,24,185,0,False,False,False,3,AAA,0.2,0.015,0.3,0.15
ACC_000040,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,181775701.69101036,49711811.7133954,226820201.92886642,0.8014087816922826,7,137,0,False,False,False,1,BBB,0.2,0.015,0.3,0.15
ACC_000041,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,170934398.90425,46550087.49707179,208012929.20863986,0.8217489151013321,28,230,0,False,False,False,2,BB,0.2,0.015,0.3,0.15
ACC_000042,Retail_Mortgage,2026-09-16,Large_D-SIB,Mpumalanga,591377807.5539392,80746465.25021441,704811687.0792487,0.8390578907745112,25,174,90,True,True,False,2,BBB,0.2,0.015,0.3,0.15
ACC_000043,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,94592779.16015206,16392769.703379333,121292085.53429288,0.7798759395014927,8,59,0,False,False,False,4,A,0.2,0.015,0.3,0.15
ACC_000044,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,800559948.7338538,178671734.65517235,949652885.4528396,0.8430027023527747,19,78,0,False,False,False,2,BB,0.2,0.015,0.3,0.15
ACC_000045,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,182043342.37528124,18159824.196438976,259853135.55390835,0.7005624234136482,13,190,0,False,False,False,4,BB,0.2,0.015,0.3,0.15
ACC_000046,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,207697063.99113148,60402353.4738807,241670939.18868744,0.8594209328121556,5,220,0,False,False,False,3,BB,0.2,0.015,0.3,0.15
ACC_000047,Retail_Mortgage,2026-09-16,Large_D-SIB,North West,36236612.31135344,2588252.4971220796,51438444.3477231,0.7044655562752733,11,161,0,False,False,False,3,AA,0.2,0.015,0.3,0.15
ACC_000048,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,228468659.53169256,23511586.674049646,318114360.71513706,0.7181966228059731,15,109,0,False,False,False,1,BBB,0.2,0.015,0.3,0.15
ACC_000049,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,286572807.13988686,39106994.387955725,325706749.75082535,0.8798491506827014,19,10,0,False,False,False,1,A,0.2,0.015,0.3,0.15
ACC_000050,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,101460929.3235113,24571719.16552042,148941635.56846973,0.6812126705622811,9,131,0,False,False,False,5,BB,0.2,0.015,0.3,0.15
ACC_000051,Retail_Mortgage,2026-09-16,Large_D-SIB,North West,278204460.7085567,34758304.09800888,308194968.33885086,0.902689820693891,30,206,15,False,False,False,2,BBB,0.2,0.015,0.3,0.15
ACC_000052,Retail_Mortgage,2026-09-16,Large_D-SIB,North West,797130574.4120157,121348670.00204621,1237933208.8460155,0.643920502912342,11,196,0,False,False,False,1,BBB,0.2,0.015,0.3,0.15
ACC_000053,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,230765968.66115707,37974201.91031593,329057184.6518724,0.7012944236586022,26,218,0,False,False,False,3,BB,0.2,0.015,0.3,0.15
ACC_000054,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,357984952.1425422,86735571.75003085,503437827.19466597,0.7110807587450495,12,17,0,False,False,False,3,BBB,0.2,0.015,0.3,0.15
ACC_000055,Retail_Mortgage,2026-09-16,Large_D-SIB,North West,101066591.13539995,27288686.17261607,117580435.19977584,0.8595527900852048,23,170,30,False,False,False,3,A,0.2,0.015,0.3,0.15
ACC_000056,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,337104488.56435037,92659030.9695321,466152709.2930942,0.723163207772746,16,164,0,False,False,False,3,AAA,0.2,0.015,0.3,0.15
ACC_000057,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,248978412.39059278,67890506.86613129,318164949.09090084,0.7825450701028,28,128,90,False,True,False,3,B,0.2,0.015,0.3,0.15
ACC_000058,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,250854625.3459037,44923294.13152764,283925046.032506,0.8835241161400882,24,60,0,False,False,False,3,A,0.2,0.015,0.3,0.15
ACC_000059,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,995086634.2949612,227665876.9424333,1248975770.8348403,0.7967221282682093,26,61,0,False,False,False,5,BB,0.2,0.015,0.3,0.15
ACC_000060,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,131583936.66659665,22604143.21794472,157144238.82884204,0.8373449618468986,25,194,0,False,False,False,3,AA,0.2,0.015,0.3,0.15
ACC_000061,Retail_Mortgage,2026-09-16,Large_D-SIB,Limpopo,115103576.95541373,14223679.483814515,140953254.6527145,0.8166081531001885,18,74,0,False,False,False,5,BBB,0.2,0.015,0.3,0.15
ACC_000062,Retail_Mortgage,2026-09-16,Large_D-SIB,Mpumalanga,75413356.84021474,22122149.742088854,92551864.16230364,0.8148226675150061,14,150,60,False,False,False,3,BB,0.2,0.015,0.3,0.15
ACC_000063,Retail_Mortgage,2026-09-16,Large_D-SIB,Eastern Cape,121675022.60624017,31561610.37963817,162827181.03471965,0.7472648106601771,19,13,15,False,False,False,2,AA,0.2,0.015,0.3,0.15
ACC_000064,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,697888588.902247,171674150.04624113,825126543.032148,0.8457958294950357,28,162,0,False,False,False,2,B,0.2,0.015,0.3,0.15
ACC_000065,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,369833564.7656755,78376663.80559768,541462450.7166818,0.6830271688759992,10,234,30,False,False,False,3,BBB,0.2,0.015,0.3,0.15
ACC_000066,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,222422975.86840478,20430844.9509528,312953531.8491678,0.7107220505043047,5,79,5,False,False,False,2,A,0.2,0.015,0.3,0.15
ACC_000067,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,412876212.1935015,68338059.65040496,494918100.7181037,0.8342313841309034,24,104,0,False,False,False,3,B,0.2,0.015,0.3,0.15
ACC_000068,Retail_Mortgage,2026-09-16,Large_D-SIB,Free State,556880965.2061895,99214369.04494303,640986737.9323472,0.8687870313862335,28,235,0,False,False,False,3,BB,0.2,0.015,0.3,0.15
ACC_000069,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,174878981.07361156,13665445.460039448,265218339.4832331,0.6593774073631408,12,182,0,False,False,False,3,B,0.2,0.015,0.3,0.15
ACC_000070,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,302868958.33209103,77803347.9078265,412858806.5633421,0.7335896764639412,30,155,0,False,False,False,4,BB,0.2,0.015,0.3,0.15
ACC_000071,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,238164840.5100964,40846415.916745864,343540693.9438718,0.6932652949376883,22,184,0,False,False,False,3,B,0.2,0.015,0.3,0.15
ACC_000072,Retail_Mortgage,2026-09-16,Large_D-SIB,North West,159260058.7046496,44750651.35876002,246183687.6170263,0.6469155623032231,18,181,90,False,True,False,3,BBB,0.2,0.015,0.3,0.15
ACC_000073,Retail_Mortgage,2026-09-16,Large_D-SIB,Mpumalanga,293070205.9807366,55376315.43892744,446167204.67409426,0.6568618287281147,30,155,0,False,False,False,2,BBB,0.2,0.015,0.3,0.15
ACC_000074,Retail_Mortgage,2026-09-16,Large_D-SIB,Free State,275533019.893839,62265616.90681225,325069296.47933614,0.8476131793374523,29,172,0,False,False,False,3,BB,0.2,0.015,0.3,0.15
ACC_000075,Retail_Mortgage,2026-09-16,Large_D-SIB,Mpumalanga,128099744.14522375,35316144.58116925,177483044.34415913,0.7217576451800335,22,75,0,False,False,False,2,AA,0.2,0.015,0.3,0.15
ACC_000076,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,477699482.9990762,71375570.43148081,600341803.7006397,0.7957125091979783,19,194,30,False,False,False,1,BBB,0.2,0.015,0.3,0.15
ACC_000077,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,651477520.9878179,165230926.41012672,780816525.6342198,0.8343541659273336,23,57,0,False,False,False,3,BB,0.2,0.015,0.3,0.15
ACC_000078,Retail_Mortgage,2026-09-16,Large_D-SIB,Free State,261109576.96329674,20153177.67491467,415192744.10963506,0.6288876206717827,18,9,0,False,False,False,3,A,0.2,0.015,0.3,0.15
ACC_000079,Retail_Mortgage,2026-09-16,Large_D-SIB,Gauteng,290895882.68113,64681720.218606256,381663843.55254364,0.7621782560628706,26,173,15,False,False,False,3,AA,0.2,0.015,0.3,0.15
ACC_000080,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,299912247.4251544,79211234.8108501,355259867.56330144,0.844205255950322,5,37,0,False,False,False,3,A,0.2,0.015,0.3,0.15
ACC_000081,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,452148067.9161247,24511440.78731251,559256255.0240359,0.8084810207383234,16,166,0,False,False,False,4,BBB,0.2,0.015,0.3,0.15
ACC_000082,Retail_Mortgage,2026-09-16,Large_D-SIB,KZN,325170788.89207184,77182604.18750939,399409611.2463987,0.8141286031584043,24,167,0,False,False,False,2,BBB,0.2,0.015,0.3,0.15
ACC_000083,Retail_Mortgage,2026-09-16,Large_D-SIB,Western Cape,693431742.9824953,72168900.96531717,865803084.4993576,0.8009116107312849,11,219,0,False,False,False,2,B,0.2,0.015,0.3,0.15
